X,Y,primaryindex,nummer,brunnenart_txt,historisches_baujahr,wasserart_txt,bezeichnung
8.59925529180996,47.3697523941567,1,510,öffentlicher Brunnen,1970,Verteilnetz,Aussichtsturm
8.5908112950803,47.3692926201664,2,349,öffentlicher Brunnen,1933,Verteilnetz,
8.57575392152858,47.3661299372347,3,365,öffentlicher Brunnen,1965,Quellwasser,Biberlinterrasse
8.56484539015968,47.3709930393355,4,338,öffentlicher Brunnen,1910,Quellwasser,
8.56439032473308,47.3693266995217,5,6069,Notwasserbrunnen,1988,Quellwasser,
8.56011028155428,47.3651974465571,6,317,öffentlicher Brunnen,1903,Quellwasser,
8.56221457421017,47.3651236155964,7,329,öffentlicher Brunnen,1907,Quellwasser,
8.56030253817775,47.3669866131836,8,327,öffentlicher Brunnen,1906,Quellwasser,
8.55695967858588,47.3684935039706,9,315,öffentlicher Brunnen,1903,Quellwasser,
8.55589054915463,47.3695437212538,10,313,öffentlicher Brunnen,1892,Quellwasser,
8.5581664009924,47.3713364706212,11,6021,Notwasserbrunnen,1978,Quellwasser,
8.56028849636015,47.3684052285174,12,360,öffentlicher Brunnen,1948,Quellwasser,
8.56156189357482,47.3702048998224,13,736,privater Brunnen,1905,Quellwasser,
8.56577309125562,47.3672525478539,14,343,öffentlicher Brunnen,1928,Verteilnetz,
8.56405262573323,47.3663654519733,15,308,öffentlicher Brunnen,1880,Quellwasser,
8.56474524317735,47.3655117750146,16,6060,Notwasserbrunnen,1986,Quellwasser,
8.56612333205432,47.3648122421368,17,319,öffentlicher Brunnen,1951,Quellwasser,Klusplatz
8.55384451674936,47.3705338317598,18,322,öffentlicher Brunnen,1905,Quellwasser,
8.55440458556796,47.36926704695,19,311,öffentlicher Brunnen,1892,Quellwasser,
8.5492227012504,47.3709461053163,20,783,privater Brunnen,1905,Quellwasser,bei der Turnhalle
8.55018504135585,47.368983951627,21,40,öffentlicher Brunnen,1905,Quellwasser,
8.55507953765959,47.3673976672045,22,350,öffentlicher Brunnen,1934,Quellwasser,Merkurplatz
8.55856928782588,47.3668165225186,23,359,öffentlicher Brunnen,1941,Quellwasser,
8.56685041711246,47.3686772403458,24,358,öffentlicher Brunnen,1939,Verteilnetz,
8.55202735061419,47.3659131793555,25,746,Brunnen in städtischer Liegenschaft,,Verteilnetz,
8.56977283756025,47.3644852759509,26,339,öffentlicher Brunnen,1913,Verteilnetz,
8.57077016975768,47.369013480016,27,1054,Brunnen in städtischer Liegenschaft,1981,Verteilnetz,Pumpwerk Sonnenberg
8.58099621299919,47.3659999972094,28,712,Brunnen des Verschönerungsvereins,1964,Quellwasser,bei Hütte
8.5452504059626,47.3655846220125,29,61,öffentlicher Brunnen,1939,Quellwasser,bei Schifflände
8.54549742122948,47.3667478853957,30,59,öffentlicher Brunnen,1938,Quellwasser,grosser Brunnen
8.5446324322717,47.3685087005753,31,2,öffentlicher Brunnen,1506,Quellwasser,Hechtplatzbrunnen
8.54515870850997,47.3690208098153,32,878,öffentlicher Brunnen,1872,Quellwasser,
8.54766316177933,47.3661136020471,33,26,öffentlicher Brunnen,1869,Verteilnetz,Fontäne Stadelhofen
8.54793617926615,47.3662745753053,34,55,öffentlicher Brunnen,1935,Quellwasser,Trinkbrunnen
8.5467953020806,47.366879560125,35,745,privater Brunnen,1941,Quellwasser,
8.54871716319363,47.3676323591323,36,80,öffentlicher Brunnen,1870,Quellwasser,obere Anlage
8.54368912983399,47.3708991265774,37,1018,öffentlicher Brunnen,1977,Verteilnetz,
8.54364794368899,47.3713356957604,38,73,öffentlicher Brunnen,1957,Quellwasser,
8.54467316801005,47.3712071738409,39,13,öffentlicher Brunnen,1604,Quellwasser,im Meyershof
8.54540839731281,47.3707847165784,40,740,privater Brunnen,,Quellwasser,
8.54504701411073,47.3679115705055,41,43,öffentlicher Brunnen,1908,Quellwasser,Limmatquai
8.5446755919759,47.3702608508687,42,23,öffentlicher Brunnen,1861,Quellwasser,Hintermünsterbrunnen
8.54380656656136,47.3704732785754,43,22,öffentlicher Brunnen,1838,Quellwasser,
8.54539456186524,47.3696145515935,44,12,öffentlicher Brunnen,1591,Quellwasser,Klausbrunnen
8.5957375028035,47.3519683759788,45,709,Brunnen des Verschönerungsvereins,1907,Quellwasser,In der Chellen
8.54664899132904,47.3706642055738,46,27,öffentlicher Brunnen,1900,Quellwasser,
8.54733802123941,47.3705661397687,47,523,Brunnen in städtischer Liegenschaft,,Quellwasser,
8.54770320009468,47.3708853803095,48,15,öffentlicher Brunnen,1726,Quellwasser,
8.54660045948071,47.3697231203381,49,20,öffentlicher Brunnen,1842,Quellwasser,Trittligasse
8.54770602317566,47.3694510740164,50,25,öffentlicher Brunnen,1866,Verteilnetz,oberer Hirschengraben
8.57920064623949,47.3626673437507,51,723,Brunnen des Verschönerungsvereins,,Quellwasser,Quelle und Brunnen
8.54309209238568,47.3710498210447,52,4,öffentlicher Brunnen,1431,Quellwasser,"Fischmarkt-, Samsonbrunnen"
