"X";"Y";"X_dms";"Y-dms";"primaryind";"nummer";"brunnenart";"historisch";"wasserart_";"bezeichnun"
8.5992552918;47.3697523942;"E8°35'57.31""";"N47°22'11.10""";1;510;"öffentlicher Brunnen";1970;"Verteilnetz";"Aussichtsturm"
8.5908112951;47.3692926202;"E8°35'26.92""";"N47°22'9.453""";2;349;"öffentlicher Brunnen";1933;"Verteilnetz";
8.5757539215;47.3661299372;"E8°34'32.71""";"N47°21'58.06""";3;365;"öffentlicher Brunnen";1965;"Quellwasser";"Biberlinterrasse"
8.5648453902;47.3709930393;"E8°33'53.44""";"N47°22'15.57""";4;338;"öffentlicher Brunnen";1910;"Quellwasser";
8.5643903247;47.3693266995;"E8°33'51.80""";"N47°22'9.576""";5;6069;"Notwasserbrunnen";1988;"Quellwasser";
8.5601102816;47.3651974466;"E8°33'36.39""";"N47°21'54.71""";6;317;"öffentlicher Brunnen";1903;"Quellwasser";
8.5622145742;47.3651236156;"E8°33'43.97""";"N47°21'54.44""";7;329;"öffentlicher Brunnen";1907;"Quellwasser";
8.5603025382;47.3669866132;"E8°33'37.08""";"N47°22'1.151""";8;327;"öffentlicher Brunnen";1906;"Quellwasser";
8.5569596786;47.368493504;"E8°33'25.05""";"N47°22'6.576""";9;315;"öffentlicher Brunnen";1903;"Quellwasser";
8.5558905492;47.3695437213;"E8°33'21.20""";"N47°22'10.35""";10;313;"öffentlicher Brunnen";1892;"Quellwasser";
8.558166401;47.3713364706;"E8°33'29.39""";"N47°22'16.81""";11;6021;"Notwasserbrunnen";1978;"Quellwasser";
8.5602884964;47.3684052285;"E8°33'37.03""";"N47°22'6.258""";12;360;"öffentlicher Brunnen";1948;"Quellwasser";
8.5615618936;47.3702048998;"E8°33'41.62""";"N47°22'12.73""";13;736;"privater Brunnen";1905;"Quellwasser";
8.5657730913;47.3672525479;"E8°33'56.78""";"N47°22'2.109""";14;343;"öffentlicher Brunnen";1928;"Verteilnetz";
8.5640526257;47.366365452;"E8°33'50.58""";"N47°21'58.91""";15;308;"öffentlicher Brunnen";1880;"Quellwasser";
8.5647452432;47.365511775;"E8°33'53.08""";"N47°21'55.84""";16;6060;"Notwasserbrunnen";1986;"Quellwasser";
8.5661233321;47.3648122421;"E8°33'58.04""";"N47°21'53.32""";17;319;"öffentlicher Brunnen";1951;"Quellwasser";"Klusplatz"
8.5538445167;47.3705338318;"E8°33'13.84""";"N47°22'13.92""";18;322;"öffentlicher Brunnen";1905;"Quellwasser";
8.5544045856;47.369267047;"E8°33'15.85""";"N47°22'9.361""";19;311;"öffentlicher Brunnen";1892;"Quellwasser";
8.5492227013;47.3709461053;"E8°32'57.20""";"N47°22'15.40""";20;783;"privater Brunnen";1905;"Quellwasser";"bei der Turnhalle"
8.5501850414;47.3689839516;"E8°33'0.666""";"N47°22'8.342""";21;40;"öffentlicher Brunnen";1905;"Quellwasser";
8.5550795377;47.3673976672;"E8°33'18.28""";"N47°22'2.631""";22;350;"öffentlicher Brunnen";1934;"Quellwasser";"Merkurplatz"
8.5585692878;47.3668165225;"E8°33'30.84""";"N47°22'0.539""";23;359;"öffentlicher Brunnen";1941;"Quellwasser";
8.5668504171;47.3686772403;"E8°34'0.661""";"N47°22'7.238""";24;358;"öffentlicher Brunnen";1939;"Verteilnetz";
8.5520273506;47.3659131794;"E8°33'7.298""";"N47°21'57.28""";25;746;"Brunnen in städtischer Liegenschaft";;"Verteilnetz";
8.5697728376;47.364485276;"E8°34'11.18""";"N47°21'52.14""";26;339;"öffentlicher Brunnen";1913;"Verteilnetz";
8.5707701698;47.36901348;"E8°34'14.77""";"N47°22'8.448""";27;1054;"Brunnen in städtischer Liegenschaft";1981;"Verteilnetz";"Pumpwerk Sonnenberg"
8.580996213;47.3659999972;"E8°34'51.58""";"N47°21'57.59""";28;712;"Brunnen des Verschönerungsvereins";1964;"Quellwasser";"bei Hütte"
8.545250406;47.365584622;"E8°32'42.90""";"N47°21'56.10""";29;61;"öffentlicher Brunnen";1939;"Quellwasser";"bei Schifflände"
8.5454974212;47.3667478854;"E8°32'43.79""";"N47°22'0.292""";30;59;"öffentlicher Brunnen";1938;"Quellwasser";"grosser Brunnen"
8.5446324323;47.3685087006;"E8°32'40.67""";"N47°22'6.631""";31;2;"öffentlicher Brunnen";1506;"Quellwasser";"Hechtplatzbrunnen"
8.5451587085;47.3690208098;"E8°32'42.57""";"N47°22'8.474""";32;878;"öffentlicher Brunnen";1872;"Quellwasser";
8.5476631618;47.366113602;"E8°32'51.58""";"N47°21'58.00""";33;26;"öffentlicher Brunnen";1869;"Verteilnetz";"Fontäne Stadelhofen"
8.5479361793;47.3662745753;"E8°32'52.57""";"N47°21'58.58""";34;55;"öffentlicher Brunnen";1935;"Quellwasser";"Trinkbrunnen"
8.5467953021;47.3668795601;"E8°32'48.46""";"N47°22'0.766""";35;745;"privater Brunnen";1941;"Quellwasser";
8.5487171632;47.3676323591;"E8°32'55.38""";"N47°22'3.476""";36;80;"öffentlicher Brunnen";1870;"Quellwasser";"obere Anlage"
8.5436891298;47.3708991266;"E8°32'37.28""";"N47°22'15.23""";37;1018;"öffentlicher Brunnen";1977;"Verteilnetz";
8.5436479437;47.3713356958;"E8°32'37.13""";"N47°22'16.80""";38;73;"öffentlicher Brunnen";1957;"Quellwasser";
8.544673168;47.3712071738;"E8°32'40.82""";"N47°22'16.34""";39;13;"öffentlicher Brunnen";1604;"Quellwasser";"im Meyershof"
8.5454083973;47.3707847166;"E8°32'43.47""";"N47°22'14.82""";40;740;"privater Brunnen";;"Quellwasser";
8.5450470141;47.3679115705;"E8°32'42.16""";"N47°22'4.481""";41;43;"öffentlicher Brunnen";1908;"Quellwasser";"Limmatquai"
8.544675592;47.3702608509;"E8°32'40.83""";"N47°22'12.93""";42;23;"öffentlicher Brunnen";1861;"Quellwasser";"Hintermünsterbrunnen"
8.5438065666;47.3704732786;"E8°32'37.70""";"N47°22'13.70""";43;22;"öffentlicher Brunnen";1838;"Quellwasser";
8.5453945619;47.3696145516;"E8°32'43.42""";"N47°22'10.61""";44;12;"öffentlicher Brunnen";1591;"Quellwasser";"Klausbrunnen"
8.5957375028;47.351968376;"E8°35'44.65""";"N47°21'7.086""";45;709;"Brunnen des Verschönerungsvereins";1907;"Quellwasser";"In der Chellen"
8.5466489913;47.3706642056;"E8°32'47.93""";"N47°22'14.39""";46;27;"öffentlicher Brunnen";1900;"Quellwasser";
8.5473380212;47.3705661398;"E8°32'50.41""";"N47°22'14.03""";47;523;"Brunnen in städtischer Liegenschaft";;"Quellwasser";
8.5477032001;47.3708853803;"E8°32'51.73""";"N47°22'15.18""";48;15;"öffentlicher Brunnen";1726;"Quellwasser";
8.5466004595;47.3697231203;"E8°32'47.76""";"N47°22'11.00""";49;20;"öffentlicher Brunnen";1842;"Quellwasser";"Trittligasse"
8.5477060232;47.369451074;"E8°32'51.74""";"N47°22'10.02""";50;25;"öffentlicher Brunnen";1866;"Verteilnetz";"oberer Hirschengraben"
8.5792006462;47.3626673438;"E8°34'45.12""";"N47°21'45.60""";51;723;"Brunnen des Verschönerungsvereins";;"Quellwasser";"Quelle und Brunnen"
8.5430920924;47.371049821;"E8°32'35.13""";"N47°22'15.77""";52;4;"öffentlicher Brunnen";1431;"Quellwasser";"Fischmarkt-, Samsonbrunnen"
8.5903947192;47.3586037493;"E8°35'25.42""";"N47°21'30.97""";53;362;"öffentlicher Brunnen";1950;"Verteilnetz";
8.5757368429;47.3610098229;"E8°34'32.65""";"N47°21'39.63""";54;724;"Brunnen mit eigener Versorgung";;"Quellwasser";
8.5946992384;47.3574512744;"E8°35'40.91""";"N47°21'26.82""";55;792;"privater Brunnen";;"Verteilnetz";"bei der Kirche"
8.5835317538;47.3583720797;"E8°35'0.714""";"N47°21'30.13""";56;356;"öffentlicher Brunnen";1938;"Verteilnetz";
8.586263082;47.3579210735;"E8°35'10.54""";"N47°21'28.51""";57;1004;"privater Brunnen";;"Verteilnetz";"Ref. Kirchgemeinde Witikon"
8.5690644422;47.358641088;"E8°34'8.631""";"N47°21'31.10""";58;973;"Brunnen in städtischer Liegenschaft";1975;"Verteilnetz";"unterhalb Forchstrasse"
8.5688373371;47.3601149675;"E8°34'7.814""";"N47°21'36.41""";59;307;"öffentlicher Brunnen";1928;"Quellwasser";
8.5627628472;47.3632599065;"E8°33'45.94""";"N47°21'47.73""";60;596;"Brunnen in städtischer Liegenschaft";1894;"Verteilnetz";"Schulhaus Freiestrasse"
8.566559974;47.3640729392;"E8°33'59.61""";"N47°21'50.66""";61;353;"öffentlicher Brunnen";1936;"Verteilnetz";
8.5566062916;47.3586687268;"E8°33'23.78""";"N47°21'31.20""";62;935;"Brunnen mit eigener Versorgung";1734;"Quellwasser";"im Hof"
8.5542117945;47.3617585921;"E8°33'15.16""";"N47°21'42.33""";63;392;"öffentlicher Brunnen";1903;"Quellwasser";
8.553769883;47.3608204241;"E8°33'13.57""";"N47°21'38.95""";64;372;"öffentlicher Brunnen";1870;"Quellwasser";
8.5292644479;47.355597613;"E8°31'45.35""";"N47°21'20.15""";65;138;"öffentlicher Brunnen";1932;"Quellwasser";
8.5061700933;47.3655761097;"E8°30'22.21""";"N47°21'56.07""";66;763;"privater Brunnen";1945;"Verteilnetz";"am Kehrplatz innerhalb der Wohnkolonie"
8.4986743273;47.3696790913;"E8°29'55.22""";"N47°22'10.84""";67;1149;"öffentlicher Brunnen";1990;"Verteilnetz";
8.5052809064;47.3691465312;"E8°30'19.01""";"N47°22'8.927""";68;208;"öffentlicher Brunnen";1945;"Verteilnetz";"Tramschleife Heuried"
