"StichtagDatJahr","QuarSort","QuarLang","AnzBestWir"
2016,123,"Hirzenbach",12463
2015,123,"Hirzenbach",11930
2014,123,"Hirzenbach",11679
2013,123,"Hirzenbach",11153
2012,123,"Hirzenbach",11404
2011,123,"Hirzenbach",11516
2010,123,"Hirzenbach",11459
2009,123,"Hirzenbach",11610
2008,123,"Hirzenbach",11478
2007,123,"Hirzenbach",11343
2006,123,"Hirzenbach",11205
2005,123,"Hirzenbach",11265
2004,123,"Hirzenbach",11336
2003,123,"Hirzenbach",11432
2002,123,"Hirzenbach",11434
2001,123,"Hirzenbach",11302
2000,123,"Hirzenbach",11281
1999,123,"Hirzenbach",11119
1998,123,"Hirzenbach",11015
1997,123,"Hirzenbach",11013
1996,123,"Hirzenbach",10990
1995,123,"Hirzenbach",10995
1994,123,"Hirzenbach",10895
1993,123,"Hirzenbach",10834
1992,123,"Hirzenbach",10802
1991,123,"Hirzenbach",10922
1990,123,"Hirzenbach",10958
1989,123,"Hirzenbach",10983
1988,123,"Hirzenbach",11083
1987,123,"Hirzenbach",11124
1986,123,"Hirzenbach",11199
1985,123,"Hirzenbach",11205
1984,123,"Hirzenbach",11389
1983,123,"Hirzenbach",11434
1982,123,"Hirzenbach",11540
1981,123,"Hirzenbach",11610
1980,123,"Hirzenbach",11661
1979,123,"Hirzenbach",11950
1978,123,"Hirzenbach",12052
1977,123,"Hirzenbach",12277
1976,123,"Hirzenbach",12364
1975,123,"Hirzenbach",12514
1974,123,"Hirzenbach",12759
1973,123,"Hirzenbach",12975
1972,123,"Hirzenbach",13286
1971,123,"Hirzenbach",13627
1970,123,"Hirzenbach",13723
2016,122,"Schwamendingen-Mitte",11076
2015,122,"Schwamendingen-Mitte",11315
2014,122,"Schwamendingen-Mitte",11301
2013,122,"Schwamendingen-Mitte",11209
2012,122,"Schwamendingen-Mitte",10934
2011,122,"Schwamendingen-Mitte",10863
2010,122,"Schwamendingen-Mitte",10903
2009,122,"Schwamendingen-Mitte",10857
2008,122,"Schwamendingen-Mitte",10864
2007,122,"Schwamendingen-Mitte",10806
2006,122,"Schwamendingen-Mitte",10637
2005,122,"Schwamendingen-Mitte",10322
2004,122,"Schwamendingen-Mitte",10274
2003,122,"Schwamendingen-Mitte",10389
2002,122,"Schwamendingen-Mitte",10373
2001,122,"Schwamendingen-Mitte",10430
2000,122,"Schwamendingen-Mitte",10479
1999,122,"Schwamendingen-Mitte",10390
1998,122,"Schwamendingen-Mitte",10174
1997,122,"Schwamendingen-Mitte",10237
1996,122,"Schwamendingen-Mitte",10141
1995,122,"Schwamendingen-Mitte",10248
1994,122,"Schwamendingen-Mitte",10240
1993,122,"Schwamendingen-Mitte",10175
1992,122,"Schwamendingen-Mitte",10191
1991,122,"Schwamendingen-Mitte",10269
1990,122,"Schwamendingen-Mitte",10161
1989,122,"Schwamendingen-Mitte",10166
1988,122,"Schwamendingen-Mitte",10116
1987,122,"Schwamendingen-Mitte",10164
1986,122,"Schwamendingen-Mitte",10133
1985,122,"Schwamendingen-Mitte",10209
1984,122,"Schwamendingen-Mitte",10285
1983,122,"Schwamendingen-Mitte",10453
1982,122,"Schwamendingen-Mitte",10638
1981,122,"Schwamendingen-Mitte",10692
1980,122,"Schwamendingen-Mitte",10961
1979,122,"Schwamendingen-Mitte",10990
1978,122,"Schwamendingen-Mitte",11072
1977,122,"Schwamendingen-Mitte",11243
1976,122,"Schwamendingen-Mitte",11334
1975,122,"Schwamendingen-Mitte",11583
1974,122,"Schwamendingen-Mitte",11797
1973,122,"Schwamendingen-Mitte",12118
1972,122,"Schwamendingen-Mitte",12465
1971,122,"Schwamendingen-Mitte",12738
1970,122,"Schwamendingen-Mitte",12849
2016,121,"Saatlen",8283
