QNr,QName,DataItemNr
111,Affoltern,Q382903
91,Albisrieden,Q80797
92,Altstetten,Q445711
31,Alt-Wiedikon,Q433012
14,City,Q1093831
24,Enge,Q648218
52,Escher Wyss,Q687052
71,Fluntern,Q693269
33,Friesenberg,Q693357
51,Gewerbeschule,Q693413
44,Hard,Q870084
73,Hirslanden,Q476940
123,Hirzenbach,Q693374
12,Hochschulen,Q39240
101,Höngg,Q455496
72,Hottingen,Q693454
42,Langstrasse,Q1805410
23,Leimbach,Q691367
13,Lindenhof,Q10987378
82,Mühlebach,Q693397
63,Oberstrass,Q693483
115,Oerlikon,Q167179
11,Rathaus,Q692511
121,Saatlen,Q652455
122,Schwamendingen-Mitte,Q692728
119,Seebach,Q276792
81,Seefeld,Q692773
34,Sihlfeld,Q370104
61,Unterstrass,Q656446
83,Weinegg,Q693321
41,Werd,Q531899
102,Wipkingen,Q678030
74,Witikon,Q392079
21,Wollishofen,Q642353
