"TITEL";"DATIERUNG";"GATTUNG";"MATERIAL";"KUENSTLER";"STANDORT";"Easting";"Northing";"Easting_WGS";"Northing_WGS";"ID_IMAGES"
[Liegende weibliche Figur];1935 (platziert 1937);Freiplastik;Bronze (Plastik), Stein (Sockel);Franz Fischer (1900-1980);Friedhof Enzenbühl, Teichanlage (bei Forchstrasse 386);2686317.804;1244857.75;8.58101201620465;47.3489216231041;kir3009
[Steinvase auf Sockel];1937;Freiplastik;Stein;Luigi Zanini (1896-1968);Friedhof Enzenbühl, Feld H (bei Forchstrasse 384);2686354.881;1244781.803;8.58148801000993;47.3482337477004;kir4368
"Alfred-Escher-Brunnen";1884-1889;;Bronze, Stein;Richard Kissling (1848-1919);Bahnhofplatz (bei Bahnhofplatz 15);2683171.766;1247948.854;8.53995497493915;47.3771255842959;kir2827
Augustin-Pyrame-de-Candolle-Denkmal;nicht bekannt;Freiplastik;Bronze (Büste), Stein (Sockel);Jakob Keller (1859-1911);Alter Botanischer Garten "Zur Katz" (bei Pelikanstrasse 40);2682785.119;1247207.068;8.53469861757126;47.3705031129993;kir2979
"Basiliskenbrunnen";1884 (platziert 1983);Brunnen;Gusseisen, lackiert;Wilhelm Bubeck (1850-1891);Sihlporte (bei Talstrasse 82);2682762.947;1247410.98;8.53444279746772;47.3723397575452;kir2819
"Berlinerbrunnen";1987;Brunnen;Keramik;KünstlerIn nicht bekannt;Bahnhofbrücke (bei Bahnhofbrücke 1);2683339.115;1247952.823;8.54217139577207;47.3771401335852;kir2941
[Brunnen];1982;Brunnen;Carrara-Marmor;Demetrios Yannakopoulos;Bärenplatz (bei Basteigasse 32);2682891.145;1247058.049;8.5360746256107;47.3691495991345;kir3811
[Brunnenanlage mit Reliefs und Putten];1914 (erneuert 1973);Brunnen;Andeer-Granit;Johann Jakob Wilhelm Schwerzmann (1877-1966);Vorplatz St. Annahof (bei St. Annagasse 11);2682946.746;1247483.519;8.53688950025279;47.3729690183289;kir3586
Brunnenwibli;1986;Brunnen;Marmor;Peter Meister (1934-1999);Lintheschergasse/Uraniastrasse (bei Lintheschergasse 1);2683027.29;1247690.608;8.53799422315286;47.374821303794;kir3820
Conrad-Gessner-Denkmal;1853;Freiplastik;Bronze (Büste), Stein (Sockel);Georg Hoerbst;Alter Botanischer Garten "Zur Katz" (bei Pelikanstrasse 40);2682710.565;1247289.973;8.5337269694708;47.3712580716038;kir2804
"Die Zeit";1962;Freiplastik;Bronze (Plastik), Beton (Stele);Franz Fischer (1900-1980);Dreikönigsbrücke (bei Dreikönigstrasse 7);2683068.323;1246867.099;8.53838466421757;47.3674100016495;kir3731
[Flora];1886 (versetzt 1933);Brunnen;Gusseisen (Plastik), Granit (Brunnentrog und Sockel);KünstlerIn nicht bekannt, Emil Schäfer (1878-1958);Walchebrücke (bei Platzpromenade 1);2683291.565;1248124.105;8.54157371518644;47.3786865463972;kir2822
Hadlaub-Denkmal;1884 (Figur entfernt 1990);Freiplastik;Kalkstein;Viktor von Meyenburg (1834-1893);Platzspitz (bei Platzpromenade 5);2683129.429;1248275.364;8.53945508557497;47.3800673488095;kir4362
Heinrich-Zollinger-Denkmal;1862;Freiplastik;Stein;KünstlerIn nicht bekannt;Alter Botanischer Garten "Zur Katz" (bei Pelikanstrasse 40);2682764.283;1247197.807;8.53442107309892;47.3704224424094;kir2977
[Hirsch];1912 (versetzt 1949);Freiplastik;Bronze (Plastik), Granit (Sockel);Franz Wanger (1880-1945);Platzspitz (bei Platzpromenade 5);2683218.331;1248284.634;8.54063392712668;47.3801394943973;kir3585
Oswald-Heer-Denkmal;nicht bekannt;Freiplastik;Marmor (Büste), Sandstein (Monument);Baptist Hoerbst (1850-1927);Alter Botanischer Garten "Zur Katz" (bei Pelikanstrasse 40);2682802.55;1247235.94;8.53493471379884;47.370760580112;kir3894
Pavillon-Skulptur;1979-1983;Freiplastik;Schwarzwald-Granit;Max Bill (1908-1994);Platzanlage Pelikanstrasse/Bahnhofstrasse (bei Bahnhofstrasse 47 und Pelikanstrasse 2);2683039.643;1247411.103;8.53810591747677;47.3723060537982;kir3800
Pestalozzi-Denkmal;1898-1899;Freiplastik;Bronze (Plastik), Stein (Sockel);Karl Peter Hugo Siegwart (1865-1938);Pestalozzianlage (bei Schweizergasse 4);2683081.113;1247778.617;8.5387231389284;47.375606017227;kir3550
"Rebekka-Brunnen";1880 (versetzt 1909);Brunnen;Marmor;Heinrich  Gerhardt (1828-1915);Guggenheim-Anlage (bei Bahnhofstrasse 1);2683191.493;1246825.094;8.54000731950742;47.3670166974844;kir2817
Salomon-Gessner-Denkmal;1791-1793/ca. 1818 (versetzt und erneuert 1930);Freiplastik;Stein, Bronze;Alexander Trippel (1744-1793), Joseph Anton Maria Christen (1767-1838);Platzspitz (bei Platzpromenade 5);2683135.815;1248369.136;8.53955706057364;47.3809098678432;kir2801
"Springbrunnen Linthescherhof";1879;Brunnen;Stahl, Stein;Baur;Linthescherhof (bei Löwenstrasse 56);2683049.044;1247862.624;8.53831414817011;47.3763655658108;kir4409
Wilhelm-Baumgartner-Denkmal;1891;Freiplastik;Bronze, Stein;Jakob August Heer (1867-1922);Platzspitz (bei Platzpromenade 5);2683168.309;1248347.473;8.53998328215052;47.3807109438904;kir2829
Wirbel;1954 (platziert 1955);Brunnen;Castione-Granit;Robert Lienhard (1919-1989);Platzspitz (zwischen Mattensteg/Drahtschmidlisteg);2683085.711;1248511.599;8.53892009274652;47.3821974080746;kir3694
["Zwei Mädchen" Brunnen mit Steinplastik];1945 (platziert 1946);Brunnen;Guntliweider Hardsandstein;Alfred Huber (1908-1982 );Sihlstrasse/Gessnerallee (bei Gessnerallee 1);2682681.176;1247496.93;8.53337612948659;47.3731230040107;kir3675
[Brunnen mit drei Knaben (auf Fischen sitzend)];1938 (platziert 1939);Brunnen;Weissmetall, verchromt  Stein;Otto Münch (1885-1965);Bellevue (bei Bellevueplatz 2);2683606.372;1246801.221;8.54549476693909;47.3667494959775;kir3662
[Brunnen mit Möve];1938;Brunnen;Weissmetall, verchromt;Otto Münch (1885-1965);Bellevue (bei Bellevueplatz 1);2683547.734;1246831.663;8.5447242385063;47.3670307089448;kir3654
David;1921 (platziert 1931);Freiplastik;Bronze (Plastik), Stein (Sockel);Ivar Johnsson (1885-1970);Schiffländeplatz bei Utoqai (bei Bellevue);2683609.381;1246615.09;8.54549984168351;47.3650751666398;kir3611
[Figur];1978;Freiplastik;Bronze;Franz Purtschert (1925-1981);Sempersteig (bei Sempersteig/Künstlergasse);2683760.816;1247647.479;8.54769752369164;47.3743405943508;kir2882
[Fontäne Stadelhofen];1869 (platziert 1870);Brunnen;Gusseisen;Preiswerk & Fenner, Basel;Stadelhoferplatz (bei-Gottfried-Keller-Strasse 7);2683771.396;1246732.254;8.54766633478218;47.3661082934024;kir2813
Hans-Georg-Nägeli-Denkmal;1840/1944;Freiplastik;Marmor, Stein;Johann Jakob Oechslin (1802-1873), KünstlerIn nicht bekannt;Parkanlage Hohe Promenade (bei Promenadengasse 7);2683826.505;1246967.575;8.54843987779451;47.3682176163107;kir2803
